id,nome
1620,Série encadeada do índice de volume trimestral (Base: média 1995 = 100)
1621,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100)
1846,Valores a preços correntes
2072,Contas econômicas trimestrais
2205,Conta financeira trimestral consolidada
5932,Taxa de variação do índice de volume trimestral
6612,Valores encadeados a preços de 1995
6613,Valores encadeados a preços de 1995 com ajuste sazonal
6726,Taxa de poupança
6727,Taxa de investimento
